# Metadata
bin_width_s: 8.0ns
total_count: 103085

# bin-index, time, count
666 5.34e-06s 34
665 5.33e-06s 36
664 5.32e-06s 30
663 5.31e-06s 35
662 5.30e-06s 32
661 5.30e-06s 29
660 5.29e-06s 37
659 5.28e-06s 41
658 5.27e-06s 38
657 5.26e-06s 34
656 5.26e-06s 34
655 5.25e-06s 28
654 5.24e-06s 45
653 5.23e-06s 27
652 5.22e-06s 39
651 5.22e-06s 27
650 5.21e-06s 32
649 5.20e-06s 34
648 5.19e-06s 36
647 5.18e-06s 33
646 5.18e-06s 36
645 5.17e-06s 36
644 5.16e-06s 42
643 5.15e-06s 29
642 5.14e-06s 25
641 5.14e-06s 35
640 5.13e-06s 30
639 5.12e-06s 33
638 5.11e-06s 34
637 5.10e-06s 32
636 5.10e-06s 38
635 5.09e-06s 31
634 5.08e-06s 38
633 5.07e-06s 44
632 5.06e-06s 38
631 5.06e-06s 37
630 5.05e-06s 38
629 5.04e-06s 41
628 5.03e-06s 35
627 5.02e-06s 38
626 5.02e-06s 41
625 5.01e-06s 33
624 5.00e-06s 29
623 4.99e-06s 30
622 4.98e-06s 28
621 4.98e-06s 33
620 4.97e-06s 36
619 4.96e-06s 37
618 4.95e-06s 46
617 4.94e-06s 33
616 4.94e-06s 44
615 4.93e-06s 36
614 4.92e-06s 28
613 4.91e-06s 42
612 4.90e-06s 41
611 4.90e-06s 40
610 4.89e-06s 29
609 4.88e-06s 40
608 4.87e-06s 39
607 4.86e-06s 38
606 4.86e-06s 46
605 4.85e-06s 42
604 4.84e-06s 27
603 4.83e-06s 32
602 4.82e-06s 34
601 4.82e-06s 32
600 4.81e-06s 33
599 4.80e-06s 39
598 4.79e-06s 41
597 4.78e-06s 39
596 4.78e-06s 37
595 4.77e-06s 44
594 4.76e-06s 46
593 4.75e-06s 40
592 4.74e-06s 41
591 4.74e-06s 27
590 4.73e-06s 26
589 4.72e-06s 36
588 4.71e-06s 34
587 4.70e-06s 35
586 4.70e-06s 45
585 4.69e-06s 21
584 4.68e-06s 44
583 4.67e-06s 33
582 4.66e-06s 36
581 4.66e-06s 35
580 4.65e-06s 44
579 4.64e-06s 37
578 4.63e-06s 36
577 4.62e-06s 43
576 4.62e-06s 43
575 4.61e-06s 36
574 4.60e-06s 44
573 4.59e-06s 47
572 4.58e-06s 45
571 4.58e-06s 33
570 4.57e-06s 28
569 4.56e-06s 32
568 4.55e-06s 39
567 4.54e-06s 43
566 4.54e-06s 33
565 4.53e-06s 38
564 4.52e-06s 42
563 4.51e-06s 30
562 4.50e-06s 46
561 4.50e-06s 48
560 4.49e-06s 44
559 4.48e-06s 80
558 4.47e-06s 81
557 4.46e-06s 86
556 4.46e-06s 99
555 4.45e-06s 80
554 4.44e-06s 83
553 4.43e-06s 87
552 4.42e-06s 83
551 4.42e-06s 94
550 4.41e-06s 85
549 4.40e-06s 75
548 4.39e-06s 78
547 4.38e-06s 73
546 4.38e-06s 78
545 4.37e-06s 89
544 4.36e-06s 89
543 4.35e-06s 106
542 4.34e-06s 81
541 4.34e-06s 101
540 4.33e-06s 98
539 4.32e-06s 77
538 4.31e-06s 93
537 4.30e-06s 85
536 4.30e-06s 81
535 4.29e-06s 79
534 4.28e-06s 82
533 4.27e-06s 93
532 4.26e-06s 138
531 4.26e-06s 152
530 4.25e-06s 107
529 4.24e-06s 140
528 4.23e-06s 141
527 4.22e-06s 116
526 4.22e-06s 143
525 4.21e-06s 145
524 4.20e-06s 129
523 4.19e-06s 145
522 4.18e-06s 162
521 4.18e-06s 180
520 4.17e-06s 138
519 4.16e-06s 138
518 4.15e-06s 170
517 4.14e-06s 155
516 4.14e-06s 151
515 4.13e-06s 167
514 4.12e-06s 148
513 4.11e-06s 160
512 4.10e-06s 157
511 4.10e-06s 155
510 4.09e-06s 138
509 4.08e-06s 155
508 4.07e-06s 162
507 4.06e-06s 153
506 4.06e-06s 175
505 4.05e-06s 160
504 4.04e-06s 169
503 4.03e-06s 158
502 4.02e-06s 155
501 4.02e-06s 147
500 4.01e-06s 161
499 4.00e-06s 146
498 3.99e-06s 176
497 3.98e-06s 169
496 3.98e-06s 168
495 3.97e-06s 163
494 3.96e-06s 168
493 3.95e-06s 152
492 3.94e-06s 173
491 3.94e-06s 158
490 3.93e-06s 144
489 3.92e-06s 153
488 3.91e-06s 168
487 3.90e-06s 156
486 3.90e-06s 163
485 3.89e-06s 167
484 3.88e-06s 149
483 3.87e-06s 167
482 3.86e-06s 173
481 3.86e-06s 167
480 3.85e-06s 183
479 3.84e-06s 163
478 3.83e-06s 157
477 3.82e-06s 176
476 3.82e-06s 161
475 3.81e-06s 138
474 3.80e-06s 166
473 3.79e-06s 187
472 3.78e-06s 155
471 3.78e-06s 152
470 3.77e-06s 166
469 3.76e-06s 165
468 3.75e-06s 160
467 3.74e-06s 156
466 3.74e-06s 182
465 3.73e-06s 173
464 3.72e-06s 160
463 3.71e-06s 181
462 3.70e-06s 181
461 3.70e-06s 170
460 3.69e-06s 158
459 3.68e-06s 186
458 3.67e-06s 165
457 3.66e-06s 169
456 3.66e-06s 158
455 3.65e-06s 182
454 3.64e-06s 197
453 3.63e-06s 161
452 3.62e-06s 180
451 3.62e-06s 201
450 3.61e-06s 930
449 3.60e-06s 3634
448 3.59e-06s 4064
447 3.58e-06s 5073
446 3.58e-06s 5276
445 3.57e-06s 8094
444 3.56e-06s 359
443 3.55e-06s 3895
442 3.54e-06s 7656
441 3.54e-06s 8680
440 3.53e-06s 9794
439 3.52e-06s 11650
438 3.51e-06s 10774
