# Metadata
bin_width_s: 8.0ns
total_count: 102336

# bin-index, time, count
663 5.31e-06s 25
662 5.30e-06s 36
661 5.30e-06s 32
660 5.29e-06s 33
659 5.28e-06s 31
658 5.27e-06s 35
657 5.26e-06s 29
656 5.26e-06s 24
655 5.25e-06s 16
654 5.24e-06s 25
653 5.23e-06s 38
652 5.22e-06s 37
651 5.22e-06s 21
650 5.21e-06s 32
649 5.20e-06s 25
648 5.19e-06s 29
647 5.18e-06s 33
646 5.18e-06s 33
645 5.17e-06s 30
644 5.16e-06s 24
643 5.15e-06s 37
642 5.14e-06s 16
641 5.14e-06s 28
640 5.13e-06s 21
639 5.12e-06s 35
638 5.11e-06s 31
637 5.10e-06s 22
636 5.10e-06s 31
635 5.09e-06s 26
634 5.08e-06s 26
633 5.07e-06s 27
632 5.06e-06s 15
631 5.06e-06s 24
630 5.05e-06s 23
629 5.04e-06s 30
628 5.03e-06s 31
627 5.02e-06s 24
626 5.02e-06s 20
625 5.01e-06s 28
624 5.00e-06s 21
623 4.99e-06s 27
622 4.98e-06s 26
621 4.98e-06s 24
620 4.97e-06s 25
619 4.96e-06s 19
618 4.95e-06s 23
617 4.94e-06s 21
616 4.94e-06s 30
615 4.93e-06s 21
614 4.92e-06s 22
613 4.91e-06s 30
612 4.90e-06s 30
611 4.90e-06s 32
610 4.89e-06s 30
609 4.88e-06s 33
608 4.87e-06s 28
607 4.86e-06s 23
606 4.86e-06s 24
605 4.85e-06s 32
604 4.84e-06s 38
603 4.83e-06s 23
602 4.82e-06s 29
601 4.82e-06s 28
600 4.81e-06s 20
599 4.80e-06s 26
598 4.79e-06s 38
597 4.78e-06s 28
596 4.78e-06s 27
595 4.77e-06s 23
594 4.76e-06s 38
593 4.75e-06s 26
592 4.74e-06s 25
591 4.74e-06s 23
590 4.73e-06s 20
589 4.72e-06s 29
588 4.71e-06s 33
587 4.70e-06s 27
586 4.70e-06s 28
585 4.69e-06s 33
584 4.68e-06s 23
583 4.67e-06s 21
582 4.66e-06s 33
581 4.66e-06s 31
580 4.65e-06s 29
579 4.64e-06s 27
578 4.63e-06s 24
577 4.62e-06s 28
576 4.62e-06s 32
575 4.61e-06s 17
574 4.60e-06s 24
573 4.59e-06s 18
572 4.58e-06s 31
571 4.58e-06s 34
570 4.57e-06s 32
569 4.56e-06s 16
568 4.55e-06s 24
567 4.54e-06s 22
566 4.54e-06s 26
565 4.53e-06s 40
564 4.52e-06s 32
563 4.51e-06s 27
562 4.50e-06s 32
561 4.50e-06s 26
560 4.49e-06s 32
559 4.48e-06s 47
558 4.47e-06s 61
557 4.46e-06s 64
556 4.46e-06s 46
555 4.45e-06s 51
554 4.44e-06s 51
553 4.43e-06s 57
552 4.42e-06s 60
551 4.42e-06s 49
550 4.41e-06s 61
549 4.40e-06s 54
548 4.39e-06s 65
547 4.38e-06s 61
546 4.38e-06s 66
545 4.37e-06s 64
544 4.36e-06s 65
543 4.35e-06s 48
542 4.34e-06s 63
541 4.34e-06s 55
540 4.33e-06s 52
539 4.32e-06s 53
538 4.31e-06s 55
537 4.30e-06s 69
536 4.30e-06s 50
535 4.29e-06s 53
534 4.28e-06s 68
533 4.27e-06s 64
532 4.26e-06s 57
531 4.26e-06s 91
530 4.25e-06s 85
529 4.24e-06s 86
528 4.23e-06s 73
527 4.22e-06s 87
526 4.22e-06s 88
525 4.21e-06s 74
524 4.20e-06s 103
523 4.19e-06s 107
522 4.18e-06s 112
521 4.18e-06s 120
520 4.17e-06s 112
519 4.16e-06s 118
518 4.15e-06s 118
517 4.14e-06s 113
516 4.14e-06s 106
515 4.13e-06s 123
514 4.12e-06s 120
513 4.11e-06s 127
512 4.10e-06s 124
511 4.10e-06s 116
510 4.09e-06s 123
509 4.08e-06s 133
508 4.07e-06s 111
507 4.06e-06s 117
506 4.06e-06s 115
505 4.05e-06s 138
504 4.04e-06s 116
503 4.03e-06s 120
502 4.02e-06s 121
501 4.02e-06s 134
500 4.01e-06s 119
499 4.00e-06s 143
498 3.99e-06s 133
497 3.98e-06s 118
496 3.98e-06s 120
495 3.97e-06s 127
494 3.96e-06s 109
493 3.95e-06s 121
492 3.94e-06s 130
491 3.94e-06s 103
490 3.93e-06s 109
489 3.92e-06s 98
488 3.91e-06s 113
487 3.90e-06s 124
486 3.90e-06s 115
485 3.89e-06s 119
484 3.88e-06s 121
483 3.87e-06s 98
482 3.86e-06s 117
481 3.86e-06s 122
480 3.85e-06s 110
479 3.84e-06s 122
478 3.83e-06s 116
477 3.82e-06s 126
476 3.82e-06s 128
475 3.81e-06s 127
474 3.80e-06s 133
473 3.79e-06s 116
472 3.78e-06s 133
471 3.78e-06s 141
470 3.77e-06s 123
469 3.76e-06s 116
468 3.75e-06s 105
467 3.74e-06s 135
466 3.74e-06s 132
465 3.73e-06s 113
464 3.72e-06s 123
463 3.71e-06s 113
462 3.70e-06s 106
461 3.70e-06s 131
460 3.69e-06s 128
459 3.68e-06s 128
458 3.67e-06s 126
457 3.66e-06s 112
456 3.66e-06s 98
455 3.65e-06s 109
454 3.64e-06s 127
453 3.63e-06s 110
452 3.62e-06s 105
